,track_id,base_name,frame,xc,yc,w,h,class_id,u_dot,v_dot,s_dot,p_value
0,0,0001_vid,38,0.021083771,0.255444622,0.038282976,0.097223709,1,0.379427357,0.700915251,-35.87023724,0.350659
1,1,0001_vid,72,0.022664888,0.099716224,0.053032736,0.167694596,0,-0.202768254,20.71902511,2444.253308,0.607843
2,1,0001_vid,73,0.027226022,0.113686567,0.05913655,0.199715207,0,2.000127295,18.14651044,2843.366141,0.646303
3,1,0001_vid,74,0.029748301,0.12995822,0.064347397,0.231356274,0,2.34865125,17.50633386,3113.666551,0.520997
4,1,0001_vid,75,0.034093635,0.149933335,0.070320314,0.256580862,0,3.077202471,17.93009088,3301.72672,0.66273
5,1,0001_vid,76,0.039824278,0.18225165,0.07841844,0.283150628,0,3.891992542,20.45579178,3663.084561,0.668017
6,1,0001_vid,77,0.043883858,0.208516487,0.08469297,0.292213638,0,4.115914018,21.28552852,3589.009951,0.750905
7,1,0001_vid,78,0.049943239,0.235673506,0.089076019,0.295895869,0,4.663693774,22.03471779,3366.57755,0.795976
8,1,0001_vid,79,0.060862846,0.263109961,0.092753531,0.293976879,0,5.936376872,22.65623191,3085.099434,0.768132
9,1,0001_vid,80,0.072241712,0.286144312,0.096765366,0.282057325,0,7.035860416,22.62293253,2737.081795,0.835114
10,1,0001_vid,81,0.08041011,0.322243674,0.104726977,0.247327436,0,7.453566762,24.08952926,2272.885078,0.829901
11,1,0001_vid,82,0.089655517,0.340681164,0.109919846,0.235730186,0,7.961300942,23.39793963,2059.400771,0.784274
12,1,0001_vid,83,0.097248786,0.365405746,0.118237596,0.21107335,0,8.16389799,23.46631576,1776.261743,0.801081
13,1,0001_vid,84,0.107515981,0.384027819,0.127406641,0.193126056,0,8.700595672,22.90631558,1598.216888,0.845663
14,1,0001_vid,85,0.113192889,0.393595091,0.141174153,0.1890558,0,8.564051399,21.52321703,1674.819672,0.666654
15,1,0001_vid,86,0.123216655,0.413306604,0.147797508,0.180309179,0,9.004385474,21.28810422,1554.691558,0.783605
16,1,0001_vid,87,0.133104711,0.427091131,0.153424943,0.176939782,0,9.376767273,20.51710445,1494.16721,0.766003
17,1,0001_vid,88,0.144194307,0.437643715,0.159179918,0.173829445,0,9.857901801,19.52889775,1442.906325,0.752236
18,1,0001_vid,89,0.153704679,0.446669431,0.163694265,0.169204163,0,10.09275964,18.5051627,1361.307696,0.832036
19,1,0001_vid,90,0.166143239,0.456164677,0.165904765,0.167261535,0,10.66090781,17.63085004,1290.182714,0.838005
20,1,0001_vid,91,0.176397717,0.463516062,0.165890197,0.167888639,0,10.9067356,16.65036992,1229.618589,0.883503
21,1,0001_vid,92,0.187580129,0.474126269,0.169775911,0.166165498,0,11.23985309,16.06162416,1191.099643,0.819964
22,1,0001_vid,93,0.19910666,0.477590748,0.168487171,0.164244549,0,11.58162741,14.88858147,1102.620644,0.877967
23,1,0001_vid,94,0.213781625,0.480730079,0.168807232,0.162481479,0,12.26588463,13.79949745,1038.703927,0.879602
24,1,0001_vid,95,0.228880745,0.492526994,0.165018376,0.155472491,0,12.93536636,13.58562337,896.7221537,0.73476
25,1,0001_vid,96,0.237568653,0.504270363,0.168983089,0.148901635,0,12.7821782,13.38716619,833.420416,0.809668
26,1,0001_vid,97,0.246336717,0.520034608,0.173803128,0.139049735,0,12.65279862,13.5636838,749.7957927,0.815363
27,1,0001_vid,98,0.250602212,0.530603508,0.176723765,0.131514686,0,12.00435498,13.26418531,675.8245796,0.61163
28,1,0001_vid,99,0.260477042,0.539537992,0.180575315,0.127622903,0,12.0764517,12.84802352,641.4385877,0.644377
29,1,0001_vid,100,0.272489571,0.547192699,0.178887745,0.124409147,0,12.39332674,12.35728627,582.520473,0.622987
30,1,0001_vid,101,0.281276155,0.551352818,0.181945857,0.1247845,0,12.30213909,11.60364099,581.9207726,0.781174
31,1,0001_vid,102,0.288079259,0.556894815,0.184049546,0.127062147,0,11.98646662,11.04057035,591.2568773,0.653213
32,1,0001_vid,103,0.299173689,0.561640505,0.179137537,0.128177391,0,12.2029521,10.45881168,554.4405231,0.827125
33,1,0001_vid,104,0.306608405,0.565430562,0.175478885,0.128200958,0,11.97070568,9.845996099,518.2521774,0.813061
34,1,0001_vid,105,0.311896626,0.568542946,0.172179662,0.129277104,0,11.50805838,9.229326091,493.0302789,0.798516
35,1,0001_vid,106,0.314867365,0.568730868,0.173123805,0.131871773,0,10.81596617,8.411731143,499.8285495,0.835564
36,1,0001_vid,107,0.31798092,0.570183994,0.173872449,0.132329973,0,10.20334628,7.779371132,491.7930962,0.880135
37,1,0001_vid,108,0.320157,0.569790616,0.172434223,0.1326027,0,9.536481714,7.042182456,472.6593994,0.86737
38,1,0001_vid,109,0.320481538,0.570398661,0.170268622,0.132488126,0,8.713288997,6.459622152,448.8200602,0.882604
39,1,0001_vid,110,0.321381409,0.571745637,0.1690929,0.131242856,0,8.031885772,5.994609953,424.1648641,0.86021
40,1,0001_vid,111,0.326297762,0.573054654,0.166268165,0.131151447,0,7.882004039,5.568312565,400.0850818,0.839975
