track_id,speed,speed_max,mean_turning_angle,outreach_ratio,mean_acceleration,min_acceleration,distance_traveled
1938,2.36765800328267,8.147015709493726,0.13208341855111486,0.13599276111708078,0.15663685437350716,0.0011427177415871614,6862.566358674252
1956,3.2541397612244047,18.871251568279938,0.159005292931335,0.047146774654364045,0.2538270743527263,0.003083159015398396,6818.679026723137
1976,2.0286683889458557,6.950607716702451,0.21046547900315465,0.13912990478255097,0.19760096551212303,0.0028602628795975707,5932.053600632112
2002,3.8790207780648505,7.23761822307624,0.05071656144281982,0.21038011773977072,0.2426167049920595,0.004788554572253517,1742.4288183539068
2003,6.867771632970346,12.83521295572808,0.08108275462380586,0.2932587496670778,0.5212809936000776,0.019786123968001446,2740.137287098655
2020,2.0753215191134036,8.79818636073854,0.12824507582808276,0.11966227940208587,0.18156856636888413,0.0006083117224899266,5123.119500950733
2048,6.293319071275171,19.717267534877443,0.15778350175614986,0.05919559358542326,0.5582540119335497,0.019444768526058025,15009.317872315085
2085,2.6460485496473325,13.727867072760846,0.225142452056529,0.0219368144858208,0.2681527339818777,0.004019727688456559,10632.973318119115
2090,3.2178605174569945,15.651805933633796,0.1888903112910808,0.010309639512222213,0.27869349963908335,0.0011524691000419978,10520.549838716408
2095,2.9306362289455827,12.158228116861576,0.16980086569321345,0.010395003917642734,0.2757815658064893,0.005723118967111629,7952.6734577155785
2102,2.385089614054451,7.727777480828902,0.15596995597593957,0.1708309771516705,0.16978193625585908,0.0020693491968606275,4673.682916213151
2105,4.175128802548693,36.98679001686141,0.10775441752503678,0.07275390774975432,0.3341196807084009,0.001777602643351111,6125.914636625409
2131,6.82762423547516,20.857886059748203,0.14422039273622086,0.06784400325603009,0.5490822337388,0.02181945185609925,8751.618286613364
2184,2.6513214385568697,13.085431920523952,0.15565306414275304,0.29585400112155924,0.19134537919653694,0.0032585190284891968,3827.3296592127026
2221,4.370756965865717,12.064492718577721,0.1586935478191589,0.42189669479786435,0.280280966523759,0.009060586770504198,1828.5632136809954
2226,4.037152025565612,22.972752722369187,0.10437019542749201,0.041460175085405254,0.30819957150087784,0.0037373108124496074,6418.3658266764905
2243,3.3097759770246085,14.051790406148516,0.1266471465270409,0.08667282923311018,0.23830304603148234,0.001854936352145581,6508.2498780442875
2244,6.779169779563848,13.898676913466785,0.08625856783724949,0.025886606941064507,0.42200676516851876,0.008038150760252825,5424.2150618217365
2248,2.4003981024761805,27.931561622664805,0.10724568059535954,0.04378901582887433,0.2068365865820762,0.003945874932298386,5766.49658183949
