speed,outreach_ratio,mean_acceleration,distance_traveled,track_id,is_male,cluster
1.8268805170835092,0.0621307479653253,0.1776792835516242,12145.496943002894,4336,0,8
4.052496459588055,0.3063235568246448,0.2429600326985806,1202.672857883337,164,0,7
4.61961791512303,0.2838991868117872,0.2702395965475304,2386.537318402715,299,0,7
4.952904730377781,0.3698199571857676,0.3968954951872526,2637.506458591422,429,0,7
4.795006214662813,0.3239738674596989,0.3879875793937308,1679.0231265739644,297,0,7
1.585727761435428,0.0749310441240901,0.1456117370118065,6943.31262115336,4557,0,2
4.066140614869767,0.0748391618248164,0.3002368515788066,18495.20219440172,12384,1,4
2.8765343124692677,0.1605918136307959,0.2098315785569037,5065.978703655996,4003,0,2
3.250650579046742,0.332557901478662,0.2269567277913752,1666.5512513236158,1558,0,7
1.8815745685092435,0.4274233954532772,0.253128590401619,1154.741403274655,15401,0,7
4.784928634852071,0.2604572533989286,0.3496518732374966,2071.837891460032,3482,0,7
2.4003981024761805,0.0437890158288743,0.2068365865820762,5766.49658183949,2248,0,2
2.415459637691472,0.1045777541813011,0.1837549449922985,5958.095763876545,4291,0,2
4.122610621805751,0.0164429372320963,0.3125676455178274,7515.509401999869,12084,0,5
6.779169779563848,0.0258866069410645,0.4220067651685187,5424.2150618217365,2244,0,6
6.6152757994054605,0.2290140576621715,0.4306706100735495,3571.506155800549,1932,0,7
2.035549689841978,0.1067878149186673,0.2342714831637764,7678.24601426882,877,0,2
1.5023385964377818,0.0129439227176735,0.1322032589928702,6407.145778769749,5138,1,2
3.658422398325101,0.505757417024213,0.2785583699468216,1519.4594527049514,21205,0,7
4.9244868552652505,0.0193846579008351,0.3133416244107603,1812.1269369127003,17478,0,7
1.820888590801964,0.0918715691358219,0.1944669599688695,3145.327313041743,184,0,2
5.078428409821573,0.0909764059228572,0.4771923906411624,12692.31864514272,495,1,1
7.696224182144138,0.2864398698422526,0.4937593145113464,3191.297747140616,4883,0,0
2.3399580318711983,0.0353195147225738,0.1823934944098705,10583.006713166804,2615,0,2
5.873394769569921,0.1246828571669627,0.4766261814645293,9779.237048669533,2488,1,5
6.925284693790207,0.1071332564593812,0.6122331435173726,5403.027482057573,5115,1,6
3.776928557175795,0.2809113346185701,0.2861824741149823,1949.984837913262,3130,0,7
3.124148841929148,0.5322135890681127,0.2160817652657274,1480.0698466869455,4859,0,7
1.8253757961790944,0.3078354999809075,0.2440469349189859,2346.1531930563165,283,1,7
2.075321519113404,0.1196622794020858,0.1815685663688841,5123.119500950733,2020,0,2
2.1605920570175288,0.0622497699509251,0.2424430309666384,9419.282561184858,25037,1,5
2.119333644085651,0.0269742179361609,0.1876392625902319,9939.831220635368,3583,0,2
1.8567512766315877,0.012667454218115,0.1540568158117611,4292.840164454554,976,0,2
3.363574934606847,0.0149890699186839,0.2453144244598197,5914.932711849979,5076,1,2
6.090244576103677,0.2337491342563638,0.4358578224053809,2481.464714660848,3235,0,7
2.079035490640858,0.0921312922659366,0.2397840148782144,20911.876328377264,2962,0,4
3.532366944835618,0.0248982874290977,0.2731886727167048,24874.980912801464,15562,1,9
6.342921533906785,0.3384305072091048,0.599826192870155,3773.739927487437,2467,1,0
3.395226067014465,0.2358910078813183,0.268364511790471,3053.2874156756006,2866,0,6
3.3362919303172363,0.0923023278066373,0.2359744926132605,5819.661979543353,1852,0,2
5.572431862551173,0.0492178306254008,0.4175303921133482,4773.452131758095,4044,0,6
2.7923153916860515,0.1692508779487441,0.245359994223476,1722.9587306592111,19592,0,7
3.524519019266131,0.5476124030073061,0.2475437073974523,1373.3237100993351,6662,0,7
4.193306890575754,0.3043442792107338,0.3647808790839622,2021.4735072655528,23300,0,7
1.8897711306752805,0.0745899697564618,0.1755668221442748,5452.854402089322,24342,0,2
8.387757116385346,0.2908219880706184,0.5535611977123005,3906.4127284978567,11041,0,0
